id,title,description,price,currency,image_url,brand,condition,availability,google_product_category,link
HUI-002,Bon Guinée 2L,Bon guinée 2l,9.48,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/HUI-002.jpg?v=2,Africomfort Foods,new,in stock,oils,https://africomfort-foods.odoo.com/shop/product/5450
DEJ-005,Bourn Vita (500g),Bourn vita (500g),7.58,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-005.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5442
DEJ-031,Bourn Vita (800G),Bourn vita (800g),12.80,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-031.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5669
DEJ-006,Bourn Vita (900G),Bourn vita (900g),14.22,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-006.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5518
FAR-011,Brown Beans (5kg),Brown beans (5kg),18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-011.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5559
BOI-005,Bullet (x4),Bullet (x4),12.50,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-005.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5503
VIPO-004,Capitaine Fish (Croacker) (5kg),Capitaine fish (croacker) (5kg),33.18,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-004.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5441
FAR-012,Cassava Flour (lafun) 5kg,Cassava flour (lafun) 5kg,18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-012.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5508
VIPO-005,Catfish 4KG,Catfish 4kg,18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-005.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5458
DEJ-008,Checker Custard 400g,Checker custard 400g,4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-008.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5598
DEJ-007,Checkers - Banana Flavour,Checkers - banana flavour,12.32,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-007.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5451
DEJ-009,Checkers - Custard Vanilla Flavour (2kg),Checkers - custard vanilla flavour (2kg),11.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-009.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5438
DEJ-010,Checkers - Milk Custard (2kg),Checkers - milk custard (2kg),14.22,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-010.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5439
GOU-009,Chips Plantain N°1 Salted  85G,Chips plantain n°1 salted  85g,0.95,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/GOU-009.jpg?v=2,Africomfort Foods,new,in stock,snacks,https://africomfort-foods.odoo.com/shop/product/5660
GOU-002,Chips Plantain N°1 Spicy 85G,Chips plantain n°1 spicy 85g,0.95,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/GOU-002.jpg?v=2,Africomfort Foods,new,in stock,snacks,https://africomfort-foods.odoo.com/shop/product/5615
GOU-003,Chips Plantain N°1 Sweet 85G,Chips plantain n°1 sweet 85g,0.95,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/GOU-003.jpg?v=2,Africomfort Foods,new,in stock,snacks,https://africomfort-foods.odoo.com/shop/product/5521
COS-002,Closeup - tooth paste,Closeup - tooth paste,2.84,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/COS-002.jpg?v=2,Africomfort Foods,new,in stock,Cosmetics,https://africomfort-foods.odoo.com/shop/product/5416
VIPO-006,Cow trips - SHAKI (1KG),Cow trips - shaki (1kg),7.58,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-006.jpg?v=2,Africomfort Foods,new,in stock,Fresh Meat,https://africomfort-foods.odoo.com/shop/product/5422
5532,CrayFish (100G),Crayfish (100g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/5532.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5532
SEAS-004,Cubes- Maggi (60 x 10g),Cubes- maggi (60 x 10g),4.27,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-004.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5393
SEAS-005,Curry Powder (100g),Curry powder (100g),2.84,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-005.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5616
DEJ-011,Custard Powder Lady B (1.6Kg),Custard powder lady b (1.6kg),11.37,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-011.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5483
SEAS-029,DUCROS Curry Powder,Ducros curry powder,1.42,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/SEAS-029.jpg?v=2,Africomfort Foods,new,in stock,Spice & Seasoning,https://africomfort-foods.odoo.com/shop/product/5668
VIPO-009,Dried Ponmo,Dried ponmo,18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-009.jpg?v=2,Africomfort Foods,new,in stock,Fresh Meat,https://africomfort-foods.odoo.com/shop/product/5552
VIPO-010,Dried Smoked Catfish Fillets (100g),Dried smoked catfish fillets (100g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-010.jpg?v=2,Africomfort Foods,new,in stock,Fish,https://africomfort-foods.odoo.com/shop/product/5436
VEG-014,Dry Iru (200g),Dry iru (200g),4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-014.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5548
VEG-004,Dry Ugwu,Dry ugwu,4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-004.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5554
VEG-002,Dry bitterleaf,Dry bitterleaf,4.74,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VEG-002.jpg?v=2,Africomfort Foods,new,in stock,Vegetables,https://africomfort-foods.odoo.com/shop/product/5515
DEJ-013,Dry powder - Ogi Brown,Dry powder - ogi brown,5.69,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-013.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5491
DEJ-014,Dry powder - Ogi White,Dry powder - ogi white,5.69,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-014.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5437
